# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "2" "-p" "--countReadPairs" "-a" "/home/mila6004/Genomeanalysis/results/5_annotation/braker3/braker.gtf" "-s" "2" "-o" "featurecounts2.txt" "/home/mila6004/Genomeanalysis/results/6_expression_analysis/star/Control_1Aligned.sortedByCoord.out.bam" "/home/mila6004/Genomeanalysis/results/6_expression_analysis/star/Heat_1Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/mila6004/Genomeanalysis/results/6_expression_analysis/star/Control_1Aligned.sortedByCoord.out.bam	/home/mila6004/Genomeanalysis/results/6_expression_analysis/star/Heat_1Aligned.sortedByCoord.out.bam
g789	contig_1_pilon;contig_1_pilon	960652;960807	960728;961113	+;+	384	0	0
g790	contig_1_pilon;contig_1_pilon	961456;961857	961763;962124	-;-	576	0	0
g791	contig_1_pilon;contig_1_pilon	962369;962611	962512;963111	+;+	645	0	0
g792	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	963141;963633;966863;967758;968034;968610;969111;973388	963268;963680;967556;967936;968441;968838;969203;973648	+;+;+;+;+;+;+;+	2040	0	0
g793	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	978872;980076;980523;980635;981258;981643;985934;986561;986642	978995;980087;980588;981178;981441;982336;986506;986593;986835	-;-;-;-;-;-;-;-;-	2424	0	0
g794	contig_1_pilon;contig_1_pilon	987080;987441	987347;987748	+;+	576	0	0
g795	contig_1_pilon;contig_1_pilon	988091;988476	988397;988552	-;-	384	0	0
g796	contig_1_pilon	988983	989198	+	216	0	0
g797	contig_1_pilon	989234	989563	-	330	0	0
g798	contig_1_pilon;contig_1_pilon	989809;990051	989952;990551	+;+	645	0	0
g799	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	990581;991073;993692;993873;994614;994614;994911;994911	990708;991120;994412;994412;994826;994826;995405;995405	+;+;+;+;+;+;+;+	1605	0	0
g800	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	997432;997709;997889;998301	997561;997800;997977;998325	-;-;-;-	336	0	0
g801	contig_1_pilon;contig_1_pilon	1001494;1001882	1001760;1002016	+;+	402	6	3
g802	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1002232;1002232;1002871;1002871;1003856;1004313;1004313;1004861;1004861;1005439;1005439	1002288;1002288;1002907;1002907;1003939;1004523;1004523;1005134;1005134;1005663;1005663	+;+;+;+;+;+;+;+;+;+;+	888	137	97
g803	contig_1_pilon;contig_1_pilon	1006238;1007170	1007043;1007194	-;-	831	7	17
g804	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1007280;1007395;1008168;1008248;1008526;1009380	1007290;1007419;1008207;1008270;1008626;1009389	+;+;+;+;+;+	210	16	18
g805	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1012001;1012367;1012483;1012494;1013109;1013109;1013620;1013620;1013976;1013976	1012091;1012418;1012597;1012597;1013299;1013299;1013692;1013692;1014061;1014061	+;+;+;+;+;+;+;+;+;+	608	76	152
g806	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1015541;1016040;1016231;1016339;1016563;1019255;1019255	1015585;1016070;1016240;1018902;1018902;1019642;1019642	-;-;-;-;-;-;-	3038	244	281
g807	contig_1_pilon;contig_1_pilon	1019660;1020028	1019811;1020115	-;-	240	6	12
g808	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1021355;1021355;1021355;1022337;1022337;1022337;1023186;1023186;1023186;1023753;1023753;1023753;1024023;1024023;1024023;1024602;1024602;1024602;1024812;1024812;1024812;1025091;1025091;1025091;1025475;1025475;1025475;1025973;1025973;1025973;1026547;1026547;1026547;1026949;1026949;1026949;1027787;1027787;1027787;1028552;1028552;1029090;1029090;1030658;1030658;1030830;1030830;1031252;1031252;1031584;1031584;1032842;1032842;1033344;1033344;1033815;1033815;1034103;1034103;1034400;1034400;1034566;1034566;1034892;1034892;1035108;1035108;1035507;1035507;1036202;1036202;1036309;1036309	1022067;1022067;1022067;1022826;1022826;1022826;1023329;1023329;1023329;1023830;1023830;1023830;1024139;1024139;1024139;1024658;1024658;1024658;1024943;1024943;1024943;1025288;1025288;1025288;1025585;1025585;1025585;1026203;1026203;1026203;1026732;1026732;1026732;1027555;1027555;1027555;1027833;1027840;1027840;1028691;1028691;1029381;1029381;1030701;1030701;1030929;1030929;1031319;1031319;1032330;1032330;1032930;1032930;1033517;1033514;1033905;1033905;1034223;1034223;1034449;1034449;1034696;1034696;1034977;1034977;1035372;1035372;1035560;1035560;1036254;1036254;1036373;1036373	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5688	735	521
g809	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1036610;1037396;1037836;1038189;1038399;1038898;1039350;1039692;1040142;1040503;1040881;1041134	1036893;1037580;1037958;1038287;1038596;1039202;1039426;1039811;1040229;1040587;1040983;1041176	+;+;+;+;+;+;+;+;+;+;+;+	1710	140	31
g810	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1041477;1042164;1042676;1042915;1043272;1043475;1043678;1043934	1041742;1042305;1042800;1043145;1043404;1043552;1043800;1043951	-;-;-;-;-;-;-;-	1116	45	29
g811	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1044327;1044545;1044611;1044814;1045465;1046332;1046722;1046946	1044336;1044567;1044669;1045063;1045533;1046679;1046737;1046959	-;-;-;-;-;-;-;-	789	280	335
g812	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1047011;1047763;1048132;1048370;1048599;1048847;1049221;1049623;1049930;1050208;1050703;1050957;1051333	1047118;1047943;1048253;1048440;1048690;1048934;1049429;1049704;1050047;1050315;1050805;1051063;1051407	+;+;+;+;+;+;+;+;+;+;+;+;+	1464	214	153
g813	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1055648;1055648;1055780;1055925;1055925;1055925;1056171;1056499;1056564;1056564;1056793;1056793;1056793	1055779;1055779;1055794;1056265;1056081;1056265;1056265;1056671;1056671;1056671;1056955;1056955;1056955	-;-;-;-;-;-;-;-;-;-;-;-;-	824	24	89
g814	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1060125;1060456;1060613;1062008;1062390;1062965;1063174;1063644;1063819;1064118;1064461	1060405;1060541;1060830;1062236;1062626;1063015;1063434;1063696;1063933;1064372;1065533	+;+;+;+;+;+;+;+;+;+;+	2859	806	1316
g815	contig_1_pilon	1060402	1061088	-	687	38	76
g816	contig_1_pilon;contig_1_pilon	1065283;1065550	1065368;1065817	-;-	354	152	287
g817	contig_1_pilon;contig_1_pilon	1065582;1067753	1065823;1067876	-;-	366	3	8
g818	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1071749;1072299;1072427;1072585;1074937;1075229	1071869;1072339;1072446;1074874;1075007;1075688	-;-;-;-;-;-	3003	715	453
g819	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1076506;1076828;1077194;1077397;1077650;1077908;1078226;1078824;1079305;1079623;1079941;1080429;1080901;1081104;1081422;1081880;1082357;1082511;1082681	1076667;1076952;1077265;1077501;1077704;1077988;1078360;1078890;1079372;1079709;1080288;1080551;1080989;1081185;1081561;1081943;1082465;1082565;1082741	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2028	1166	860
g820	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1082851;1082851;1083750;1088468;1088741	1083286;1083286;1083754;1088595;1089007	-;-;-;-;-	836	0	0
g821	contig_1_pilon	1089216	1089611	-	396	0	0
g822	contig_1_pilon;contig_1_pilon	1096785;1096920	1096879;1097136	+;+	312	0	0
g823	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1097215;1097789;1098290;1098613;1099152;1099574;1099946;1100201;1100733;1101028;1101359;1101623;1101980	1097562;1097849;1098384;1098725;1099323;1099613;1100010;1100314;1100797;1101187;1101478;1101711;1102064	+;+;+;+;+;+;+;+;+;+;+;+;+	1527	87	90
g824	contig_1_pilon	1102886	1103164	-	279	0	4
g825	contig_1_pilon;contig_1_pilon	1103318;1104039	1103621;1104043	+;+	309	27	5
g826	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1104244;1104630;1104941;1105579;1105764;1105996;1106463;1106680;1107099;1108157	1104285;1104743;1105246;1105647;1105835;1106124;1106543;1106892;1108008;1108374	+;+;+;+;+;+;+;+;+;+	2154	172	112
g827	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1108774;1109295;1110350;1110753	1109199;1110202;1110647;1110797	-;-;-;-	1677	20	17
g828	contig_1_pilon;contig_1_pilon	1110973;1111297	1111176;1111554	+;+	462	0	0
g829	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1123092;1123092;1126313;1126313;1126907;1126907;1127294;1127294;1128396;1128396;1128811;1128811;1129193;1129193;1129480;1129480;1129722;1129722;1130117;1130117;1130434;1130434;1130950;1130950;1131340;1131340;1131679;1131679;1131816;1131825;1132440;1132440;1132674;1132674	1123157;1123157;1126813;1126813;1127204;1127204;1127377;1127377;1128528;1128528;1128882;1128882;1129336;1129336;1129551;1129551;1129793;1129793;1130238;1130238;1130571;1130571;1131164;1131164;1131466;1131466;1131711;1131711;1132210;1132210;1132535;1132535;1132895;1132895	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2790	808	1264
g830	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1135728;1136044;1136324;1136598	1135883;1136266;1136406;1136666	+;+;+;+	531	1	0
g831	contig_1_pilon;contig_1_pilon	1137841;1139153	1139046;1140679	+;+	2733	2	0
g832	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1141551;1141908;1142426;1142651;1142901;1143140;1143701;1144223;1144601;1144945;1145248;1145596;1147187;1147864;1148163;1148411;1148626	1141646;1142010;1142497;1142712;1143029;1143197;1143799;1144315;1144794;1145088;1145322;1146184;1147543;1148033;1148262;1148522;1148752	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2580	27	18
g833	contig_1_pilon;contig_1_pilon	1148817;1149139	1148958;1149470	+;+	474	0	0
g834	contig_1_pilon	1156353	1156574	-	222	0	0
g835	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1164302;1164615;1165122;1165765;1165991;1166209;1166522;1167008;1167539;1167812;1168070;1168357;1168591;1168919;1169225;1169482;1170083;1170540;1170856;1171226;1171574;1171901	1164436;1164791;1165355;1165815;1166062;1166325;1166782;1167129;1167605;1167885;1168146;1168457;1168743;1168996;1169302;1169580;1170190;1170594;1170995;1171415;1171812;1171921	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2649	368	148
g836	contig_1_pilon;contig_1_pilon;contig_1_pilon	1174986;1175592;1175772	1175374;1175717;1176018	+;+;+	762	18	55
g837	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1176945;1177217;1177389;1177732	1176971;1177334;1177514;1178120	-;-;-;-	660	19	62
g838	contig_1_pilon;contig_1_pilon;contig_1_pilon	1182407;1182620;1183585	1182468;1182771;1183589	+;+;+	219	0	0
g839	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1183599;1183958;1184462;1185511;1187567;1187841;1188238;1189205;1189938	1183658;1184351;1185174;1185566;1187684;1187915;1188642;1189768;1190270	+;+;+;+;+;+;+;+;+	2718	513	208
g840	contig_1_pilon	1191688	1192110	+	423	11	12
g841	contig_1_pilon	1194000	1194383	-	384	0	0
g842	contig_1_pilon	1195579	1196331	-	753	278	459
g843	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1196414;1196791;1197023;1197296;1197800;1198578;1198728;1200643	1196524;1196883;1197103;1197689;1198413;1198633;1198768;1200857	+;+;+;+;+;+;+;+	1605	570	1033
g844	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1200921;1201332;1202062;1204059;1205225;1205803;1206199;1206646;1206943;1207409;1207757;1208193;1208597;1209243	1201087;1201458;1202679;1204194;1205301;1206031;1206399;1206749;1207053;1207513;1207830;1208328;1208707;1209671	-;-;-;-;-;-;-;-;-;-;-;-;-;-	2625	1263	875
g845	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1209786;1210234;1210444;1210653;1210972;1211160;1211540;1211796;1212208;1212475;1212676	1210066;1210345;1210490;1210863;1211004;1211354;1211602;1211999;1212276;1212539;1212868	+;+;+;+;+;+;+;+;+;+;+	1473	236	217
g846	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1215075;1215343;1215769;1215971;1216256;1216608;1217003;1234879;1235018;1235201;1235332;1235441;1236587;1236807;1237531;1238117;1238337	1215212;1215659;1215867;1216115;1216431;1216692;1217131;1234915;1235084;1235278;1235357;1235452;1236642;1237420;1237924;1238197;1238516	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2634	246	749
g847	contig_1_pilon;contig_1_pilon	1238681;1238829	1238774;1239055	-;-	321	0	11
g848	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1239074;1241842;1242181;1243159;1243538;1244036;1244279;1244425;1244647;1244917;1246189;1247464;1247912;1248232;1249720;1249955;1250141;1250354	1239504;1242125;1242620;1243269;1243673;1244109;1244312;1244598;1244752;1245829;1247198;1247661;1248002;1248565;1249827;1250022;1250258;1251009	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5286	419	459
g849	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1255885;1256180;1256758;1257066;1257188;1257567;1258065;1258382;1258848;1259152;1259502;1259870;1260332	1256134;1256712;1256912;1257147;1257298;1257702;1258138;1258486;1258958;1259255;1259702;1260098;1260412	+;+;+;+;+;+;+;+;+;+;+;+;+	2172	234	367
g850	contig_1_pilon	1262849	1263256	+	408	0	97
g851	contig_1_pilon;contig_1_pilon;contig_1_pilon	1271938;1272573;1273045	1272216;1272830;1273446	+;+;+	939	0	1
g852	contig_1_pilon;contig_1_pilon;contig_1_pilon	1277115;1283049;1283775	1277615;1283130;1284157	-;-;-	966	0	0
g853	contig_1_pilon;contig_1_pilon;contig_1_pilon	1285669;1286275;1286818	1286039;1286699;1287203	+;+;+	1182	0	0
g854	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1291164;1291635;1291958;1292283	1291455;1291911;1292189;1292330	-;-;-;-	849	2	3
g855	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1292500;1292644;1294027;1295012;1295367	1292546;1293901;1294953;1295300;1295476	+;+;+;+;+	2631	19	39
g856	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1296034;1296484;1296812;1297237;1297440;1297752;1297932;1298149;1298446;1298744;1299011;1299272;1299552;1299774	1296090;1296560;1296917;1297344;1297514;1297814;1298021;1298226;1298544;1298786;1299060;1299327;1299621;1299797	-;-;-;-;-;-;-;-;-;-;-;-;-;-	996	163	43
g857	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1299831;1300077;1300431;1300607;1300956;1301371;1301520	1299842;1300190;1300487;1300651;1301012;1301436;1301576	-;-;-;-;-;-;-	408	27	21
g858	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1301660;1301950;1302348;1302584;1303081;1303445	1301854;1302218;1302461;1302806;1303329;1303576	+;+;+;+;+;+	1182	161	72
g859	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1304417;1304417;1304661;1304661;1304974;1304974;1305681;1305681;1305918	1304508;1304508;1304741;1304741;1305432;1305432;1305825;1305868;1305946	-;-;-;-;-;-;-;-;-	849	89	126
g860	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1306104;1306495;1306910;1307332;1307484;1307695;1308098;1308493;1308760;1308964;1309261	1306188;1306742;1307059;1307388;1307582;1307790;1308182;1308545;1308843;1309074;1309338	+;+;+;+;+;+;+;+;+;+;+	1146	363	349
g861	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1309863;1309863;1310217;1310217;1310524;1314209	1310126;1310126;1310336;1310336;1310532;1314391	-;-;-;-;-;-	576	9	8
g862	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1314408;1314708;1315087;1315931;1318631;1319001;1319396;1319689	1314650;1315040;1315206;1316034;1318906;1319186;1319422;1319794	+;+;+;+;+;+;+;+	1395	124	189
g863	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1319818;1320543;1321235;1321533	1320171;1321046;1321382;1322518	+;+;+;+	1992	157	26
g864	contig_1_pilon;contig_1_pilon;contig_1_pilon	1324497;1325135;1326382	1324976;1325189;1326557	-;-;-	711	0	6
g865	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1332944;1333262;1334111;1334536;1334940;1335374;1335813;1336221;1336675;1337087;1337441;1337693;1338115;1338433;1338739;1339059;1339283;1339657;1343883	1333067;1333367;1334132;1334657;1334981;1335455;1335916;1336347;1336769;1337210;1337521;1337791;1338294;1338520;1338809;1339151;1339462;1339743;1344071	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2016	255	188
g866	contig_1_pilon	1346483	1346761	-	279	3	15
g867	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1346827;1347383;1347566;1348511;1348663;1348804;1349158	1346934;1347448;1348259;1348533;1348744;1348819;1349482	+;+;+;+;+;+;+	1314	667	2537
g868	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1351926;1352182;1352441;1352591;1352978;1353459;1353653	1352019;1352350;1352534;1352645;1353075;1353488;1353847	+;+;+;+;+;+;+	735	9	45
g869	contig_1_pilon;contig_1_pilon;contig_1_pilon	1356350;1356639;1356812	1356510;1356745;1356924	+;+;+	381	0	15
g870	contig_1_pilon	1356977	1357279	-	303	0	6
g871	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1375531;1375926;1376262;1376633;1377694;1378149;1378422	1375845;1375996;1376355;1377416;1377836;1378246;1378914	+;+;+;+;+;+;+	1998	233	201
g872	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1380779;1381084;1381285;1381825	1380781;1381128;1381608;1382058	+;+;+;+	606	0	21
g873	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1383627;1383937;1384275;1384524;1384780;1385000;1385249;1385505;1385777;1385961	1383720;1384086;1384375;1384605;1384871;1385067;1385363;1385558;1385836;1386077	+;+;+;+;+;+;+;+;+;+	933	939	218
g874	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1386876;1386876;1387153;1387153;1387380;1387380;1387600;1387600;1387819;1387819;1388299;1388299;1388807;1388807;1389061;1389061;1389333;1389333;1389634;1389634;1390258;1390258;1390575;1390888;1391003	1386984;1386984;1387217;1387217;1387461;1387461;1387700;1387700;1388117;1388117;1388548;1388548;1388928;1388928;1389123;1389123;1389470;1389470;1389787;1389787;1390509;1390648;1390648;1391269;1391277	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2164	160	404
g875	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1393245;1393541;1394577;1395070;1395535;1395932	1393330;1393718;1394651;1395258;1395708;1396213	+;+;+;+;+;+	984	216	89
g876	contig_1_pilon;contig_1_pilon;contig_1_pilon	1397447;1398113;1398830	1397617;1398735;1399160	+;+;+	1125	3	46
g877	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1400239;1400545;1401027;1401292	1400412;1400971;1401242;1401485	-;-;-;-	1011	31	40
g878	contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon;contig_1_pilon	1405558;1405558;1405852;1405852;1407565;1407565;1408037;1408037;1408339;1408339;1408690;1408690;1409065;1409065;1409825;1409825	1405754;1405754;1407160;1407169;1407815;1407815;1408169;1408169;1408506;1408506;1408809;1408809;1409267;1409267;1410596;1410596	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3162	75	70
